_start meta data
_update_action,SKU_Oferta,SKU_Conteudo
modify,banda_larga_basico_fid_guer_25mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_guer_35mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_guer_35mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_guer_15mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_guer_15mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_guer_25mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_guer_25mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_guer_35mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_guer_35mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_guer_15mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_guer_15mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_guer_25mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_guer_25mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_guer_35mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_guer_35mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_nvend_fid_padrao_15mb_com_sva_brasil_combos,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_padrao_15mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_basico_fid_padrao_15mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_basico_fid_padrao_25mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_basico_fid_padrao_25mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_basico_fid_padrao_35mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_basico_fid_padrao_35mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_intermediario_fid_padrao_15mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_intermediario_fid_padrao_15mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_intermediario_fid_padrao_25mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_intermediario_fid_padrao_25mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_intermediario_fid_padrao_35mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_intermediario_fid_padrao_35mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_top_fid_padrao_15mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_top_fid_padrao_15mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_top_fid_padrao_25mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_top_fid_padrao_25mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_top_fid_padrao_35mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_top_fid_padrao_35mb_com_sva_r2,bl_oi_Educa
